unit_no,house_no,street_name,street_type,suburb,postcode,collection_day,service_option
,20,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,28,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,36,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,44,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,52,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,60,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,66,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,66a,Bonner,Road,AGNES BANKS,2753,ThursA1,2 Bin
,12,Brooks,Lane,AGNES BANKS,2753,ThursA1,2 Bin
,22,Brooks,Lane,AGNES BANKS,2753,ThursA1,2 Bin
,42,Brooks,Lane,AGNES BANKS,2753,ThursA1,2 Bin
,377,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,381,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,383,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,385,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,387,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,391,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,395,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,397,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,399,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,401,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,403,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,405,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,407,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,409,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,410,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,410a,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,410B,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,417,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,425,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,437,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,447,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,452,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,457,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,460,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,465,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,466,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,466a,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,475,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,476,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,481,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,483,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,488,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,488a,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,489,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,497,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,497a,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,502,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,502a,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,505,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,513A,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,522,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,531,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,532,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,532,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,539,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,543,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,545,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,568,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,568,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,602,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,616,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,626,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,633,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,654,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,657,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,664,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,667,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,670,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,676,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,682,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,694,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,695,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,706,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,721,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,733,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,745,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,750,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,760,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,763,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,768,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,769,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,776,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,795,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,801,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,807,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,811,Castlereagh,Road,AGNES BANKS,2753,ThursA1,2 Bin
,17,Cornwall,Street,AGNES BANKS,2753,ThursA1,2 Bin
,31,Cornwall,Street,AGNES BANKS,2753,ThursA1,2 Bin
,1,Geebung,Close,AGNES BANKS,2753,ThursA1,2 Bin
,16,Geebung,Close,AGNES BANKS,2753,ThursA1,2 Bin
,17,Geebung,Close,AGNES BANKS,2753,ThursA1,2 Bin
,4,Geebung,Close,AGNES BANKS,2753,ThursA1,2 Bin
,6,Geebung,Close,AGNES BANKS,2753,ThursA1,2 Bin
,1,Jockbet,Street,AGNES BANKS,2753,ThursA1,2 Bin
,17,Jockbet,Street,AGNES BANKS,2753,ThursA1,2 Bin
,29,Jockbet,Street,AGNES BANKS,2753,ThursA1,2 Bin
,27,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,47,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,50,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,61,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,75,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,80,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,85,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,87,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,91,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,97,Kooringal,Drive,AGNES BANKS,2753,ThursA1,2 Bin
,2,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,32,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,34,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,36,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,39,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,41,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,50,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,7,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,7,Persoonia,Avenue,AGNES BANKS,2753,ThursA1,2 Bin
,103,Rickards,Road,AGNES BANKS,2753,ThursA1,2 Bin
