unit_no,house_no,_name,street_type,suburb,postcode,service_option
,21,Cooee ,Avenue,GLENMORE PARK,2745,C&R
1,54,Park ,Avenue,KINGSWOOD,2747,C&R
2,54,Park ,Avenue,KINGSWOOD,2747,C&R
3,54,Park ,Avenue,KINGSWOOD,2747,C&R
4,54,Park ,Avenue,KINGSWOOD,2747,C&R
5,54,Park ,Avenue,KINGSWOOD,2747,C&R
6,54,Park ,Avenue,KINGSWOOD,2747,C&R
7,54,Park ,Avenue,KINGSWOOD,2747,C&R
8,54,Park ,Avenue,KINGSWOOD,2747,C&R
9,54,Park ,Avenue,KINGSWOOD,2747,C&R
10,54,Park ,Avenue,KINGSWOOD,2747,C&R
11,54,Park ,Avenue,KINGSWOOD,2747,C&R
12,54,Park ,Avenue,KINGSWOOD,2747,C&R
13,54,Park ,Avenue,KINGSWOOD,2747,C&R
14,54,Park ,Avenue,KINGSWOOD,2747,C&R
15,54,Park ,Avenue,KINGSWOOD,2747,C&R
16,54,Park ,Avenue,KINGSWOOD,2747,C&R
17,54,Park ,Avenue,KINGSWOOD,2747,C&R
18,54,Park ,Avenue,KINGSWOOD,2747,C&R
19,54,Park ,Avenue,KINGSWOOD,2747,C&R
20,54,Park ,Avenue,KINGSWOOD,2747,C&R
21,54,Park ,Avenue,KINGSWOOD,2747,C&R
22,54,Park ,Avenue,KINGSWOOD,2747,C&R
23,54,Park ,Avenue,KINGSWOOD,2747,C&R
24,54,Park ,Avenue,KINGSWOOD,2747,C&R
1,56,Park ,Avenue,KINGSWOOD,2747,C&R
2,56,Park ,Avenue,KINGSWOOD,2747,C&R
3,56,Park ,Avenue,KINGSWOOD,2747,C&R
4,56,Park ,Avenue,KINGSWOOD,2747,C&R
5,56,Park ,Avenue,KINGSWOOD,2747,C&R
6,56,Park ,Avenue,KINGSWOOD,2747,C&R
7,56,Park ,Avenue,KINGSWOOD,2747,C&R
8,56,Park ,Avenue,KINGSWOOD,2747,C&R
9,56,Park ,Avenue,KINGSWOOD,2747,C&R
10,56,Park ,Avenue,KINGSWOOD,2747,C&R
11,56,Park ,Avenue,KINGSWOOD,2747,C&R
12,56,Park ,Avenue,KINGSWOOD,2747,C&R
13,56,Park ,Avenue,KINGSWOOD,2747,C&R
14,56,Park ,Avenue,KINGSWOOD,2747,C&R
15,56,Park ,Avenue,KINGSWOOD,2747,C&R
16,56,Park ,Avenue,KINGSWOOD,2747,C&R
17,56,Park ,Avenue,KINGSWOOD,2747,C&R
18,56,Park ,Avenue,KINGSWOOD,2747,C&R
19,56,Park ,Avenue,KINGSWOOD,2747,C&R
21,56,Park ,Avenue,KINGSWOOD,2747,C&R
22,56,Park ,Avenue,KINGSWOOD,2747,C&R
23,56,Park ,Avenue,KINGSWOOD,2747,C&R
24,56,Park ,Avenue,KINGSWOOD,2747,C&R
25,56,Park ,Avenue,KINGSWOOD,2747,C&R
26,56,Park ,Avenue,KINGSWOOD,2747,C&R
27,56,Park ,Avenue,KINGSWOOD,2747,C&R
28,56,Park ,Avenue,KINGSWOOD,2747,C&R
29,56,Park ,Avenue,KINGSWOOD,2747,C&R
30,56,Park ,Avenue,KINGSWOOD,2747,C&R
20,56,Park ,Avenue,KINGSWOOD,2747,C&R
1,58,Park ,Avenue,KINGSWOOD,2747,C&R
2,58,Park ,Avenue,KINGSWOOD,2747,C&R
3,58,Park ,Avenue,KINGSWOOD,2747,C&R
4,58,Park ,Avenue,KINGSWOOD,2747,C&R
5,58,Park ,Avenue,KINGSWOOD,2747,C&R
6,58,Park ,Avenue,KINGSWOOD,2747,C&R
7,58,Park ,Avenue,KINGSWOOD,2747,C&R
8,58,Park ,Avenue,KINGSWOOD,2747,C&R
9,58,Park ,Avenue,KINGSWOOD,2747,C&R
10,58,Park ,Avenue,KINGSWOOD,2747,C&R
11,58,Park ,Avenue,KINGSWOOD,2747,C&R
12,58,Park ,Avenue,KINGSWOOD,2747,C&R
13,58,Park ,Avenue,KINGSWOOD,2747,C&R
14,58,Park ,Avenue,KINGSWOOD,2747,C&R
15,58,Park ,Avenue,KINGSWOOD,2747,C&R
16,58,Park ,Avenue,KINGSWOOD,2747,C&R
17,58,Park ,Avenue,KINGSWOOD,2747,C&R
18,58,Park ,Avenue,KINGSWOOD,2747,C&R
19,58,Park ,Avenue,KINGSWOOD,2747,C&R
20,58,Park ,Avenue,KINGSWOOD,2747,C&R
21,58,Park ,Avenue,KINGSWOOD,2747,C&R
22,58,Park ,Avenue,KINGSWOOD,2747,C&R
23,58,Park ,Avenue,KINGSWOOD,2747,C&R
24,58,Park ,Avenue,KINGSWOOD,2747,C&R
25,58,Park ,Avenue,KINGSWOOD,2747,C&R
26,58,Park ,Avenue,KINGSWOOD,2747,C&R
27,58,Park ,Avenue,KINGSWOOD,2747,C&R
1,62,Park ,Avenue,KINGSWOOD,2747,C&R
2,62,Park ,Avenue,KINGSWOOD,2747,C&R
3,62,Park ,Avenue,KINGSWOOD,2747,C&R
4,62,Park ,Avenue,KINGSWOOD,2747,C&R
5,62,Park ,Avenue,KINGSWOOD,2747,C&R
6,62,Park ,Avenue,KINGSWOOD,2747,C&R
7,62,Park ,Avenue,KINGSWOOD,2747,C&R
8,62,Park ,Avenue,KINGSWOOD,2747,C&R
9,62,Park ,Avenue,KINGSWOOD,2747,C&R
