unit_no,house_no,street_name,street_type,suburb,postcode,collection_day,service_option
1,34,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,34,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,34,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,34,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
5,34,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
6,34,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
5,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
6,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
7,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
8,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1b,36,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,37,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,37,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,37,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,37,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,39,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,39,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,39,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,39,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
5,39,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
9,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
10,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
11,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
12,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
13,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
14,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
15,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
16,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
17,40,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,69,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,69,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,69,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,94,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,94,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,94,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,94,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
5,94,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,109,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,109,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,109,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,109,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,111,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,111,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,111,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,113,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,113,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,113,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,113,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,117,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
2,117,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
3,117,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
4,117,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
5,117,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
6,117,Adelaide,Street,OXLEY PARK,2760,ThursA2,2 Bin
1,133,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,133,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,133,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,133,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,133,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,133,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,135,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,135,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,135,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,135,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,135,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
7,136,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,147,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,147,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,147,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,147,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,147,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,147,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,158,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,158,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,158,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,158,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,158,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,161,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,161,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,161,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,161,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,161,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,161,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,163,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,163,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,163,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,163,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,163,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,163,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
2,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
3,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
4,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
5,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
6,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
7,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
8,165,Adelaide,Street,ST MARYS,2760,ThursA2,2 Bin
1,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
2,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
3,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
4,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
5,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
6,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
7,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
8,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
9,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
10,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
11,27,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
1,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
2,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
3,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
4,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
5,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
6,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
7,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
8,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
9,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
10,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
11,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
12,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
13,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
14,40,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
1,74,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
2,74,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
3,74,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
4,74,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
5,74,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
6,74,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
1,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
2,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
3,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
4,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
5,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
6,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
7,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
8,75,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
1,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
2,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
3,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
4,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
5,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
6,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
7,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
8,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
9,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
10,82,Albert,Street,WERRINGTON,2747,ThursA1,2 Bin
1,17,Algie,Crescent,KINGSWOOD,2747,ThursA1,2 Bin
2,17,Algie,Crescent,KINGSWOOD,2747,ThursA1,2 Bin
3,17,Algie,Crescent,KINGSWOOD,2747,ThursA1,2 Bin
4,17,Algie,Crescent,KINGSWOOD,2747,ThursA1,2 Bin
1,2,Anvil,Place,JAMISONTOWN,2750,MonA2,2 Bin
2,2,Anvil,Place,JAMISONTOWN,2750,MonA2,2 Bin
3,2,Anvil,Place,JAMISONTOWN,2750,MonA2,2 Bin
1,2,Armstein,Crescent,WERRINGTON,2747,WedA2,2 Bin
2,2,Armstein,Crescent,WERRINGTON,2747,WedA2,2 Bin
3,2,Armstein,Crescent,WERRINGTON,2747,WedA2,2 Bin
1,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
2,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
3,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
4,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
5,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
6,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
7,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
8,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
9,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
10,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
11,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
12,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
13,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
14,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
15,9,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
1,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
2,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
3,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
4,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
5,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
6,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
7,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
8,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
9,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
10,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
11,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
12,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
13,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
14,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
15,11,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
1,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
2,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
3,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
4,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
5,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
6,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
7,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
8,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
9,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
10,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
11,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
12,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
13,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
14,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
15,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
16,13,Atchison,Street,ST MARYS,2760,ThursA1,2 Bin
1,5,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,5,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,5,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,5,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
5,5,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
6,5,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,11,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,11,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,11,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,11,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
5,11,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,19,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,19,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,19,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,19,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
5,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
6,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
7,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
8,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
9,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
10,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
11,24,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,39,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,39,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,39,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,39,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,51,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,51,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,51,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,51,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
5,51,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,55,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,55,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,55,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,55,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
5,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
6,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
7,74,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,81,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
2,81,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
3,81,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
4,81,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
5,81,Australia,Street,ST MARYS,2760,ThursA2,2 Bin
1,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
2,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
3,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
4,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
5,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
6,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
7,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
8,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
9,17,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
1,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
2,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
3,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
4,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
5,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
6,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
7,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
8,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
9,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
10,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
11,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
12,18,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
1,23,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
2,23,Barber,Avenue,PENRITH,2750,TuesA2,2 Bin
