unit_no,house_no,street_name,street_type,suburb,postcode,collection_day,service_option
1,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
2,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
3,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
4,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
5,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
6,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
7,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
8,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
9,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
10,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
11,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
12,11,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
1,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
2,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
3,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
4,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
5,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
6,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
7,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
8,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
9,25,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
1,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
2,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
3,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
4,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
5,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
6,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
7,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
8,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
9,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
10,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
11,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
12,27,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
1,9,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
2,9,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
3,9,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
4,9,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
5,9,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
6,9,Barlow,Street,CAMBRIDGE PARK,2747,,MUD
